"ÁÐºÅ
ÐÐºÅ",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,32,131,92,120,20,25,143,65,54,31,108,41,104,37,11
2,1,123,91,29,39,30,40,42,116,71,73,135,111,59,43
3,62,110,129,52,13,44,53,107,47,142,99,48,130,140,63
4,14,19,93,3,78,83,58,26,46,45,94,125,82,76,86
5,72,149,18,64,127,69,67,128,148,85,33,89,90,22,6
6,9,139,23,84,98,106,16,114,124,79,36,118,126,51,57
7,87,138,81,4,24,70,60,38,147,95,133,10,34,112,145
8,21,119,105,66,77,7,28,115,50,56,146,35,102,88,103
9,122,141,8,74,101,100,144,17,27,2,137,15,121,150,109
10,80,75,49,113,55,136,132,134,12,97,117,96,5,68,61
